t_ns,t_offset_s,parent_frame,child_frame,x,y,z,qx,qy,qz,qw,camera_x_in_base_x,camera_x_in_base_y,camera_x_in_base_z,camera_y_in_base_x,camera_y_in_base_y,camera_y_in_base_z,camera_z_in_base_x,camera_z_in_base_y,camera_z_in_base_z
1783095546392219915,45.230652974,base_link,zed_0_left_camera_frame,-0.07662808492184744,-0.21767134107788344,1.360521669752696,-0.16434891563147194,-0.0015999966041204212,0.9681616022738978,-0.18881203834518925,-0.8746788962133885,-0.3650752157319556,-0.3188368162198258,0.3661270465595605,-0.9286949083736035,0.05896399696864346,-0.3176284217391484,-0.06516021807215555,0.9459737478832523
1783095546451505240,45.289938299,base_link,zed_0_left_camera_frame,-0.07662808492184744,-0.21767134107788344,1.360521669752696,-0.16434891563147194,-0.0015999966041204212,0.9681616022738978,-0.18881203834518925,-0.8746788962133885,-0.3650752157319556,-0.3188368162198258,0.3661270465595605,-0.9286949083736035,0.05896399696864346,-0.3176284217391484,-0.06516021807215555,0.9459737478832523
1783095546501608649,45.340041708,base_link,zed_0_left_camera_frame,-0.07662808492184744,-0.21767134107788344,1.360521669752696,-0.16434891563147194,-0.0015999966041204212,0.9681616022738978,-0.18881203834518925,-0.8746788962133885,-0.3650752157319556,-0.3188368162198258,0.3661270465595605,-0.9286949083736035,0.05896399696864346,-0.3176284217391484,-0.06516021807215555,0.9459737478832523
1783095546551923685,45.390356744,base_link,zed_0_left_camera_frame,-0.07700787585595878,-0.2175372684888439,1.360521669752696,-0.1643502493112349,-0.001456574649241888,0.9683260030526706,-0.18796708688934236,-0.8753147395953388,-0.3635480590925352,-0.3188368162198258,0.36450561271950854,-0.9293325052732513,0.05896399696864346,-0.3177416638452063,-0.06460575340163643,0.9459737478832523
1783095546611559060,45.449992119,base_link,zed_0_left_camera_frame,-0.07738743221112149,-0.21740253324467768,1.360521669752696,-0.16435145783134503,-0.001313151585120277,0.9684896664103145,-0.18712199228862395,-0.8759479166212957,-0.36201979502454956,-0.3188368162198258,0.3628830685340218,-0.9299672712697014,0.05896399696864346,-0.3178539380566871,-0.06405109193112071,0.9459737478832523
1783095546661961379,45.500394438,base_link,zed_0_left_camera_frame,-0.07738743221112149,-0.21740253324467768,1.360521669752696,-0.16435145783134503,-0.001313151585120277,0.9684896664103145,-0.18712199228862395,-0.8759479166212957,-0.36201979502454956,-0.3188368162198258,0.3628830685340218,-0.9299672712697014,0.05896399696864346,-0.3178539380566871,-0.06405109193112071,0.9459737478832523
1783095546721684800,45.560117859,base_link,zed_0_left_camera_frame,-0.07776675283114312,-0.21726713575581102,1.360521669752696,-0.16435254119088197,-0.0011697275209782692,0.9686525922221931,-0.18627675518660888,-0.8765784253624954,-0.3604904281833477,-0.3188368162198258,0.3612594189456425,-0.9305992044293497,0.05896399696864346,-0.31796524403158455,-0.06349623535020042,0.9459737478832523
1783095546781974512,45.620407571,base_link,zed_0_left_camera_frame,-0.0781458365605491,-0.2171310764346874,1.360521669752696,-0.1643534993890207,-0.0010263025660393913,0.9688147803642314,-0.18543137622698125,-0.8772062638983019,-0.35895996322763896,-0.3188368162198258,0.359634668900281,-0.9312283028272215,0.05896399696864346,-0.3180755814308419,-0.06294118534906226,0.9459737478832523
1783095546841999685,45.680432744,base_link,zed_0_left_camera_frame,-0.078903288729228,-0.2168569739555226,1.360521669752696,-0.16435504029828008,-0.0007394504206682173,0.9691369431452964,-0.18374019531016267,-0.8784539227118682,-0.3558957576242465,-0.3188368162198258,0.35638188723899655,-0.9324779876809174,0.05896399696864346,-0.31829334916096275,-0.06183051184981906,0.9459737478832523
1783095546891941569,45.730374628,base_link,zed_0_left_camera_frame,-0.0792816548611742,-0.21671893163244363,1.360521669752696,-0.1643556230082272,-0.0005960234486859236,0.9692969175389826,-0.18289439464087726,-0.8790737391890493,-0.3543620263106485,-0.3188368162198258,0.3547538655315937,-0.9330985703299916,0.05896399696864346,-0.31840077882846907,-0.06127489173501234,0.9459737478832523
1783095546951707171,45.79014023,base_link,zed_0_left_camera_frame,-0.080037661457449,-0.21644086692179204,1.360521669752696,-0.16435641293653766,-0.00030916825225631,0.9696146517235262,-0.1812023761011183,-0.8803053368438865,-0.35129133001965307,-0.3188368162198258,0.3514945851593919,-0.9343312066206014,0.05896399696864346,-0.31861272813213026,-0.060163093237585355,0.9459737478832523
1783095547001696388,45.840129447,base_link,zed_0_left_camera_frame,-0.080037661457449,-0.21644086692179204,1.360521669752696,-0.16435641293653766,-0.00030916825225631,0.9696146517235262,-0.1812023761011183,-0.8803053368438865,-0.35129133001965307,-0.3188368162198258,0.3514945851593919,-0.9343312066206014,0.05896399696864346,-0.31861272813213026,-0.060163093237585355,0.9459737478832523
1783095547052043831,45.89047689,base_link,zed_0_left_camera_frame,-0.080037661457449,-0.21644086692179204,1.360521669752696,-0.16435641293653766,-0.00030916825225631,0.9696146517235262,-0.1812023761011183,-0.8803053368438865,-0.35129133001965307,-0.3188368162198258,0.3514945851593919,-0.9343312066206014,0.05896399696864346,-0.31861272813213026,-0.060163093237585355,0.9459737478832523
