t_ns,t_offset_s,parent_frame,child_frame,x,y,z,qx,qy,qz,qw,is_static
1783095546161932696,45.000365755,lowerpassive,grapplecarrier,0.0,0.0,-0.261,0.0,0.0,-0.0749786636134539,0.9971851382781136,False
1783095546161932696,45.000365755,grapplecarrier,grappletong1,-0.275000000000001,-0.0192847891741644,-0.202,0.0,0.0,0.0,1.0,False
1783095546161932696,45.000365755,grapplecarrier,grappletong2,0.275000000000001,-0.0192847891741644,-0.202,0.0,0.0,0.0,1.0,False
1783095546161932696,45.000365755,telescope,upperpassive,0.0,2.03711,-0.20229,0.4138986657192397,0.0,0.0,0.9103229616547267,False
1783095546161932696,45.000365755,base_link,mast,0.0,0.0,0.26881,0.0,0.0,0.7649209270789442,0.6441241924634475,False
1783095546161932696,45.000365755,mainboom,stick,0.0,3.04904,-0.00649,-0.5195187176067034,0.0,0.0,0.8544590698543063,False
1783095546161932696,45.000365755,stick,telescope,0.0,0.6054357338587859,0.1874227001686128,0.0,0.0,0.0,1.0,False
1783095546190199086,45.028632145,zed_0_camera_center,zed_0_left_camera_frame,-0.01,0.060116712003946304,0.0,0.0,0.0,0.0,1.0,False
1783095546190252075,45.028685134,zed_0_camera_center,zed_0_right_camera_frame,-0.01,-0.060116712003946304,0.0,0.0,0.0,0.0,1.0,False
1783095546221989357,45.060422416,upperpassive,lowerpassive,0.0,0.0,-0.154,0.0,0.07932897336914982,0.0,0.9968484909875707,False
1783095546221989357,45.060422416,mast,mainboom,0.0,-0.0601374,1.09553,0.13225627920087857,0.0,0.0,0.9912155550696019,False
1783095546221989357,45.060422416,lowerpassive,grapplecarrier,0.0,0.0,-0.261,0.0,0.0,-0.0749786636134539,0.9971851382781136,False
1783095546221989357,45.060422416,grapplecarrier,grappletong1,-0.275000000000001,-0.0192847891741644,-0.202,0.0,0.0,0.0,1.0,False
1783095546221989357,45.060422416,grapplecarrier,grappletong2,0.275000000000001,-0.0192847891741644,-0.202,0.0,0.0,0.0,1.0,False
1783095546221989357,45.060422416,telescope,upperpassive,0.0,2.03711,-0.20229,0.4170737615615887,0.0,0.0,0.908872640922185,False
1783095546221989357,45.060422416,base_link,mast,0.0,0.0,0.26881,0.0,0.0,0.7649209270789442,0.6441241924634475,False
1783095546221989357,45.060422416,mainboom,stick,0.0,3.04904,-0.00649,-0.5195187176067034,0.0,0.0,0.8544590698543063,False
1783095546221989357,45.060422416,stick,telescope,0.0,0.6054357338587859,0.1874227001686128,0.0,0.0,0.0,1.0,False
