t_ns,t_offset_s,T_base_grapple_00,T_base_grapple_01,T_base_grapple_02,T_base_grapple_03,T_base_grapple_10,T_base_grapple_11,T_base_grapple_12,T_base_grapple_13,T_base_grapple_20,T_base_grapple_21,T_base_grapple_22,T_base_grapple_23,T_base_grapple_30,T_base_grapple_31,T_base_grapple_32,T_base_grapple_33,z_axis_x,z_axis_y,z_axis_z
1783095553401306768,52.239739827,0.03327447492731915,-0.8879171266403092,0.4587984149243854,-4.778520216465029,0.9974245334184088,0.00031798688655735203,-0.07172307173712836,-0.7943594024681591,0.06353825189112851,0.4600033424912882,0.8856409066001086,1.7103368061614652,0.0,0.0,0.0,1.0,0.4587984149243854,-0.07172307173712836,0.8856409066001086
1783095553411323804,52.249756863,0.03327447492731915,-0.8879171266403092,0.4587984149243854,-4.778520216465029,0.9974245334184088,0.00031798688655735203,-0.07172307173712836,-0.7943594024681591,0.06353825189112851,0.4600033424912882,0.8856409066001086,1.7103368061614652,0.0,0.0,0.0,1.0,0.4587984149243854,-0.07172307173712836,0.8856409066001086
1783095553421270752,52.259703811,0.032483520115788256,-0.8880409867520759,0.45861533638691887,-4.778557162601168,0.9975467235663417,0.00033712133666641714,-0.07000300458738257,-0.7948231275541149,0.06201092825417082,0.45976417019772653,0.8858733276148755,1.7102251323454554,0.0,0.0,0.0,1.0,0.45861533638691876,-0.07000300458738255,0.8858733276148753
1783095553431461498,52.269894557,0.032483520115788256,-0.8880409867520759,0.45861533638691887,-4.778557162601168,0.9975467235663417,0.00033712133666641714,-0.07000300458738257,-0.7948231275541149,0.06201092825417082,0.45976417019772653,0.8858733276148755,1.7102251323454554,0.0,0.0,0.0,1.0,0.45861533638691876,-0.07000300458738255,0.8858733276148753
1783095553441419546,52.279852605,0.03158858690132581,-0.8889535633623915,0.4569066899957628,-4.777873938260743,0.9976477453099695,0.00021813077662946988,-0.0685487322778364,-0.7951612831561469,0.060836974411221295,0.4579972866778481,0.8868694086167466,1.7098458561961158,0.0,0.0,0.0,1.0,0.45690668999576267,-0.06854873227783638,0.8868694086167463
1783095553451459453,52.289892512,0.03158858690132581,-0.8889535633623915,0.4569066899957628,-4.777873938260743,0.9976477453099695,0.00021813077662946988,-0.0685487322778364,-0.7951612831561469,0.060836974411221295,0.4579972866778481,0.8868694086167466,1.7098458561961158,0.0,0.0,0.0,1.0,0.45690668999576267,-0.06854873227783638,0.8868694086167463
1783095553461309732,52.299742791,0.030698624136938704,-0.8898626386512319,0.4551945505042497,-4.777274327101575,0.9977466123192028,9.927802476563088e-05,-0.06709461788718825,-0.7955141493662414,0.059659802896531354,0.4562285331679078,0.8878604808424612,1.709417295956952,0.0,0.0,0.0,1.0,0.4551945505042497,-0.06709461788718825,0.8878604808424612
1783095553471277224,52.309710283,0.030698624136938704,-0.8898626386512319,0.4551945505042497,-4.777274327101575,0.9977466123192028,9.927802476563088e-05,-0.06709461788718825,-0.7955141493662414,0.059659802896531354,0.4562285331679078,0.8878604808424612,1.709417295956952,0.0,0.0,0.0,1.0,0.4551945505042497,-0.06709461788718825,0.8878604808424612
1783095553481300085,52.319733144,0.030492262672150796,-0.8914261976022595,0.45213886820921484,-4.7760012378822125,0.9977105967912607,-0.0001736043234373691,-0.0676279151827481,-0.7952919616607996,0.06036378854544047,0.4531658681872634,0.8893800700164837,1.7087841893678106,0.0,0.0,0.0,1.0,0.45213886820921484,-0.0676279151827481,0.8893800700164837
1783095553496706591,52.33513965,0.030492262672150796,-0.8914261976022595,0.45213886820921484,-4.7760012378822125,0.9977105967912607,-0.0001736043234373691,-0.0676279151827481,-0.7952919616607996,0.06036378854544047,0.4531658681872634,0.8893800700164837,1.7087841893678106,0.0,0.0,0.0,1.0,0.45213886820921484,-0.0676279151827481,0.8893800700164837
1783095553502219667,52.340652726,0.02961134592929172,-0.8923256733770488,0.45041987170245085,-4.7753144974885116,0.9978080195866977,-0.0002912550926539171,-0.06617455114273962,-0.7956297380225013,0.059180437990334935,0.4513920776915203,0.8903610885234176,1.708410528900277,0.0,0.0,0.0,1.0,0.45041987170245074,-0.06617455114273961,0.8903610885234173
1783095553511964411,52.35039747,0.02961134592929172,-0.8923256733770488,0.45041987170245085,-4.7753144974885116,0.9978080195866977,-0.0002912550926539171,-0.06617455114273962,-0.7956297380225013,0.059180437990334935,0.4513920776915203,0.8903610885234176,1.708410528900277,0.0,0.0,0.0,1.0,0.45041987170245074,-0.06617455114273961,0.8903610885234173
1783095553521716683,52.360149742,0.0288348448204206,-0.8924472701013239,0.4502292991497522,-4.775349487686674,0.997920641920407,-0.00027361892098228045,-0.06445399570119052,-0.7960935905526177,0.05764498376567793,0.45115163218299553,0.8905836629005015,1.7083014250567032,0.0,0.0,0.0,1.0,0.4502292991497522,-0.06445399570119052,0.8905836629005015
1783095553531486509,52.369919568,0.0288348448204206,-0.8924472701013239,0.4502292991497522,-4.775349487686674,0.997920641920407,-0.00027361892098228045,-0.06445399570119052,-0.7960935905526177,0.05764498376567793,0.45115163218299553,0.8905836629005015,1.7083014250567032,0.0,0.0,0.0,1.0,0.4502292991497522,-0.06445399570119052,0.8905836629005015
1783095553541250725,52.379683784,0.028735433551087933,-0.8932216331906487,0.44869743576140614,-4.774711387180158,0.9979032920273342,-0.0004087657397432919,-0.06472134633626786,-0.7959822251547903,0.057993918816028715,0.44961644421751323,0.8913370622102279,1.7079875951911925,0.0,0.0,0.0,1.0,0.44869743576140614,-0.06472134633626786,0.8913370622102279
1783095553551172167,52.389605226,0.028735433551087933,-0.8932216331906487,0.44869743576140614,-4.774711387180158,0.9979032920273342,-0.0004087657397432919,-0.06472134633626786,-0.7959822251547903,0.057993918816028715,0.44961644421751323,0.8913370622102279,1.7079875951911925,0.0,0.0,0.0,1.0,0.44869743576140614,-0.06472134633626786,0.8913370622102279
1783095553561182474,52.399615533,0.02863542249579164,-0.8939933555931787,0.44716427935797387,-4.774072748065834,0.9978858374557634,-0.0005434516888882808,-0.06498892263664086,-0.7958707657556697,0.05834267720714362,0.44807988664468135,0.89208774635727,1.707674896331682,0.0,0.0,0.0,1.0,0.44716427935797387,-0.06498892263664086,0.89208774635727
