Wall time,Step,Value
1771829291.1143613,137,106.16231536865234
1771829460.1154604,138,106.16231536865234
1771829618.6886892,139,106.38320922851562
1771829757.1940746,140,106.51939392089844
1771829852.3586478,141,107.35574340820312
1771829987.3465316,142,107.10784912109375
1771830149.2498283,143,107.10784912109375
1771830292.3701103,144,107.10784912109375
1771830349.8719327,145,107.10784912109375
1771830460.058804,146,107.10784912109375
1771830624.232146,147,106.89761352539062
1771830790.5907936,148,107.95677185058594
1771830950.671425,149,105.68434143066406
1771831061.3621223,150,105.68434143066406
1771831219.6812465,151,105.68434143066406
1771831277.411731,152,105.68434143066406
1771831393.5142934,153,105.68434143066406
1771831558.371574,154,106.02587127685547
1771831679.7216866,155,106.1489486694336
1771831777.0677435,156,106.18318176269531
1771831952.3016567,157,105.37299346923828
1771832096.8807008,158,105.37299346923828
1771832158.5057242,159,105.37299346923828
1771832297.160627,160,105.37299346923828
1771832448.363174,161,105.37299346923828
1771832549.671588,162,105.13300323486328
1771832646.9495966,163,104.53157806396484
